contract_address,token_name,token_name_en,chain,status,status_en,outcome,peak_tvl,current_pool,mechanism,mechanism_en,early_warning,victims_note,timeline_span,detail_url
0xcae117ca6bc8a341d2e7207f30e180f0e5618b9d,ARK / 方舟之境,ARK · Ark Realm,BSC,重启盘,Rugged once · Relaunch,砸盘已发生 · 正在重启,,,国库/储备叙事 + 无限增发砸盘 + 超长锁仓锁死流动性,Treasury/reserve narrative + unlimited mint dumps + extra-long lockup to trap liquidity,国库稳定币余额链上可查（实际近零）；质押池兑付缺口结构,单次砸盘套现 $2626 万,砸盘 → 重启,https://scytheradar.com/death/ark-ark-realm.html
0x1d249e02fb188447c73127fee4cc3e5adb7556a3,BIT / Interbits,BIT · Interbits,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,,,无限增发砸盘,unlimited mint & dump,GoPlus 检出 1 项风险标记：无限增发砸盘,链上持有人 5039,部署 → 跑路,https://scytheradar.com/death/bit-interbits.html
0xc0e6ad13bd58413ed308729b688d601243e1cf77,BLK / Black Whale Token,BLK · Black Whale Token,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,,,无限增发砸盘、隐藏 owner,"unlimited mint & dump, hidden owner",GoPlus 检出 2 项风险标记：无限增发砸盘、隐藏 owner,链上持有人 103798,部署 → 跑路,https://scytheradar.com/death/blk-black-whale-token.html
0xb60501346240fcde1615de56ea9fff1ac1da5673,BSL / B-LAUNCH,BSL · B-LAUNCH,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,,,无限增发砸盘,unlimited mint & dump,GoPlus 检出 1 项风险标记：无限增发砸盘,链上持有人 5808,部署 → 跑路,https://scytheradar.com/death/bsl-b-launch.html
0xb49988a9ecbf0455b3b43fff7e64960d8399ccb8,BZP / BitZipp Token,BZP · BitZipp Token,BSC,已归零,Went to zero,池子枯竭 · 无法出逃,,,无限增发砸盘,unlimited mint & dump,GoPlus 检出 1 项风险标记：无限增发砸盘,链上持有人 11714,部署 → 跑路,https://scytheradar.com/death/bzp-bitzipp-token.html
0xb0a2416fd12711cbcfafb429031c0f7037fab970,BeeToken / Bee Token,BeeToken · Bee Token,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,,,黑名单拉黑买家、无限增发砸盘,"blacklist locks buyers, unlimited mint & dump",GoPlus 检出 2 项风险标记：黑名单拉黑买家、无限增发砸盘,链上持有人 452643,部署 → 跑路,https://scytheradar.com/death/beetoken-bee-token.html
0x21ec484e79a360ac66c7ab284e99a9e83a9ccd8d,EASYMONEY / Easy Money,EASYMONEY · Easy Money,BSC,已归零,Went to zero,池子枯竭 · 无法出逃,,,无限增发砸盘、可收回所有权,"unlimited mint & dump, ownership revocable",GoPlus 检出 2 项风险标记：无限增发砸盘、可收回所有权,链上持有人 20,部署 → 跑路,https://scytheradar.com/death/easymoney-easy-money.html
0xb0378817a0a97ea668a64a22dcbeea8389f7cb07,LABUBU 假币,LABUBU Fake,BSC,已归零,Went to zero,价格归零 · 30 万人被埋,,,热门 IP 蹭热点 + 貔貅模板（黑名单 + 任意改余额后门）,Hot-IP piggyback + honeypot template (blacklist + arbitrary balance-rewrite backdoor),字节码可检出黑名单与余额改写函数；模拟买入即被拉黑,约 30 万持有人,蹭热点 → 归零,https://scytheradar.com/death/labubu-fake.html
0x7f9bd73e51e66e0b2c7a87db0ca530a11eb7a7e9,LAX / 拉菲,LAX · Lafite,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,$45.9M,$5,高收益质押叙事 + recycle() 抽池后门（每抽一次 1/3）,High-yield staking narrative + recycle() drain backdoor (1/3 skimmed per call),上线即可检出：recycle 抽池函数在字节码里裸奔，owner 权限未放弃,峰值 TVL $4590 万,高峰 → 崩盘,https://scytheradar.com/death/lax-lafite.html
0xf9f89ef3c1b96a662db5fc9184dbf6ca1416dfe5,MODO / MoonDoge,MODO · MoonDoge,BSC,已拔池,LP drained,池子枯竭 · 无法出逃,,,无限增发砸盘,unlimited mint & dump,GoPlus 检出 1 项风险标记：无限增发砸盘,链上持有人 89658,部署 → 跑路,https://scytheradar.com/death/modo-moondoge.html
